原文,当前译文,状态,来源
Adamantine War Hammer,Adamantine War Hammer,pending,existing_corpus | exe:resource@0x54159C:csv
Ambergris,Ambergris,pending,existing_corpus | exe:blitz_string@0x194A50 | exe:resource@0x54159C:csv
Amulet of Accuracy,Amulet of Accuracy,pending,existing_corpus | exe:resource@0x54159C:csv
Amulet of Greater Protection,Amulet of Greater Protection,pending,existing_corpus | exe:resource@0x54159C:csv
Amulet of Protection,Amulet of Protection,pending,existing_corpus | exe:resource@0x54159C:csv
Amulet of the Master Merchant,Amulet of the Master Merchant,pending,existing_corpus | exe:resource@0x54159C:csv
Amulet Passkey 15,Amulet Passkey 15,pending,existing_corpus | exe:resource@0x54159C:csv
Ankh,Ankh,pending,existing_corpus | exe:resource@0x54159C:csv
Antique Sextant,Antique Sextant,pending,existing_corpus | exe:blitz_string@0x1B29EC | exe:resource@0x54159C:csv
Apple,Apple,pending,existing_corpus | exe:blitz_string@0x194C48 | exe:resource@0x54159C:csv
Arrow,Arrow,pending,existing_corpus | exe:blitz_string@0x1945AC | exe:resource@0x54159C:csv
Ash,Ash,pending,existing_corpus | exe:blitz_string@0x1B42AC | exe:resource@0x54159C:csv
Assassin's Arrow,Assassin's Arrow,pending,existing_corpus | exe:resource@0x54159C:csv
Bandages,Bandages,pending,existing_corpus | exe:resource@0x54159C:csv
You clean your wounds and apply bandages.,You clean your wounds and apply bandages.,pending,existing_corpus
Bar of Copper,Bar of Copper,pending,existing_corpus | exe:resource@0x54159C:csv
Bar of Iron,Bar of Iron,pending,existing_corpus | exe:resource@0x54159C:csv
Bar of Mithril,Bar of Mithril,pending,existing_corpus | exe:blitz_string@0x1B1E24 | exe:resource@0x54159C:csv
Belladonna,Belladonna,pending,existing_corpus | exe:blitz_string@0x194A0C | exe:resource@0x54159C:csv
Benny and the Dragon,Benny and the Dragon,pending,existing_corpus | exe:resource@0x54159C:csv
Bent Key,Bent Key,pending,existing_corpus | exe:resource@0x54159C:csv
Birch Quarterstaff,Birch Quarterstaff,pending,existing_corpus | exe:resource@0x54159C:csv
Birch Short Bow,Birch Short Bow,pending,existing_corpus | exe:blitz_string@0x19488C | exe:resource@0x54159C:csv
Bitter Naga Amulet,Bitter Naga Amulet,pending,existing_corpus | exe:resource@0x54159C:csv
Blessed Rope Belt of the Healer,Blessed Rope Belt of the Healer,pending,existing_corpus | exe:resource@0x54159C:csv
Bloodlust Amulet,Bloodlust Amulet,pending,existing_corpus | exe:resource@0x54159C:csv
Bloodstained Note,Bloodstained Note,pending,existing_corpus | exe:resource@0x54159C:csv
Blue Goblin Key,Blue Goblin Key,pending,existing_corpus | exe:blitz_string@0x1B4330 | exe:resource@0x54159C:csv
Boiled Leather Bracers,Boiled Leather Bracers,pending,existing_corpus | exe:resource@0x54159C:csv
Bone Dagger,Bone Dagger,pending,existing_corpus | exe:resource@0x54159C:csv
Bones to Splinters,Bones to Splinters,pending,existing_corpus | exe:resource@0x54159C:csv
Bonesplitter's Charm,Bonesplitter's Charm,pending,existing_corpus | exe:resource@0x54159C:csv
Bottle of Ale,Bottle of Ale,pending,existing_corpus | exe:blitz_string@0x194BF0 | exe:resource@0x54159C:csv
Bottle of Rare Vintage Wine,Bottle of Rare Vintage Wine,pending,existing_corpus | exe:resource@0x54159C:csv
Bottle of Vintage Wine,Bottle of Vintage Wine,pending,existing_corpus | exe:resource@0x54159C:csv
Bottle of Whiskey,Bottle of Whiskey,pending,existing_corpus | exe:blitz_string@0x194C18 | exe:resource@0x54159C:csv
Bottle of Wine,Bottle of Wine,pending,existing_corpus | exe:blitz_string@0x194B38 | exe:resource@0x54159C:csv
Brass Locket,Brass Locket,pending,existing_corpus | exe:resource@0x54159C:csv
Brass Ring,Brass Ring,pending,existing_corpus | exe:resource@0x54159C:csv
Brassy Key,Brassy Key,pending,existing_corpus | exe:resource@0x54159C:csv
Bread,Bread,pending,existing_corpus | exe:blitz_string@0x194B60 | exe:resource@0x54159C:csv
Brewmaster's Ring,Brewmaster's Ring,pending,existing_corpus | exe:resource@0x54159C:csv
Bromine,Bromine,pending,existing_corpus | exe:blitz_string@0x1949D4 | exe:resource@0x54159C:csv
Bronze Buckler,Bronze Buckler,pending,existing_corpus | exe:resource@0x54159C:csv
Burglar's Leather Gloves,Burglar's Leather Gloves,pending,existing_corpus | exe:resource@0x54159C:csv
Burley Acorn,Burley Acorn,pending,existing_corpus | exe:resource@0x54159C:csv
Buying and Selling,Buying and Selling,pending,existing_corpus | exe:resource@0x54159C:csv
Ceramic Crucible,Ceramic Crucible,pending,existing_corpus | exe:blitz_string@0x19F34C | exe:resource@0x54159C:csv
Chainmail Boots,Chainmail Boots,pending,existing_corpus | exe:resource@0x54159C:csv
Chainmail Coif,Chainmail Coif,pending,existing_corpus | exe:resource@0x54159C:csv
Chainmail Hauberk,Chainmail Hauberk,pending,existing_corpus | exe:resource@0x54159C:csv
Chainmail Jerkin,Chainmail Jerkin,pending,existing_corpus | exe:resource@0x54159C:csv
Chainmail Leggings,Chainmail Leggings,pending,existing_corpus | exe:blitz_string@0x194484 | exe:resource@0x54159C:csv
Charcoal,Charcoal,pending,existing_corpus | exe:blitz_string@0x1949F0 | exe:resource@0x54159C:csv
Chronometer,Chronometer,pending,existing_corpus | exe:resource@0x54159C:csv
Cloak of the Shadow,Cloak of the Shadow,pending,existing_corpus | exe:resource@0x54159C:csv
Commoner's Pants,Commoner's Pants,pending,existing_corpus | exe:blitz_string@0x1B5BD8 | exe:resource@0x54159C:csv
Compass,Compass,pending,existing_corpus | exe:resource@0x54159C:csv
Composite Great Bow,Composite Great Bow,pending,existing_corpus | exe:resource@0x54159C:csv
Composite Longbow,Composite Longbow,pending,existing_corpus | exe:resource@0x54159C:csv
Conqueror's Full Helm,Conqueror's Full Helm,pending,existing_corpus | exe:resource@0x54159C:csv
Copper Hammer,Copper Hammer,pending,existing_corpus | exe:resource@0x54159C:csv
Copper Ring,Copper Ring,pending,existing_corpus | exe:resource@0x54159C:csv
Cotton Wick,Cotton Wick,pending,existing_corpus | exe:blitz_string@0x194BB0 | exe:resource@0x54159C:csv
Cracked Shield,Cracked Shield,pending,existing_corpus | exe:resource@0x54159C:csv
Crux of Ages,Crux of Ages,pending,existing_corpus | exe:blitz_string@0x1A2AE8 | exe:resource@0x54159C:csv
Crypt Key,Crypt Key,pending,existing_corpus | exe:resource@0x54159C:csv
Deadeye Pendant,Deadeye Pendant,pending,existing_corpus | exe:resource@0x54159C:csv
Demon Oil I,Demon Oil I,pending,existing_corpus | exe:blitz_string@0x194910 | exe:resource@0x54159C:csv
Demon Oil II,Demon Oil II,pending,existing_corpus | exe:blitz_string@0x194354 | exe:resource@0x54159C:csv
Demon Oil III,Demon Oil III,pending,existing_corpus | exe:blitz_string@0x1A27D0 | exe:resource@0x54159C:csv
Detox Serum,Detox Serum,pending,existing_corpus | exe:blitz_string@0x194A70 | exe:resource@0x54159C:csv
Diamond Chip,Diamond Chip,pending,existing_corpus | exe:resource@0x54159C:csv
Diamond Head Arrows,Diamond Head Arrows,pending,existing_corpus | exe:resource@0x54159C:csv
Diamond Studded Jerkin,Diamond Studded Jerkin,pending,existing_corpus | exe:resource@0x54159C:csv
Diamond Studded Leggings,Diamond Studded Leggings,pending,existing_corpus | exe:resource@0x54159C:csv
Diamond-edge Claymore,Diamond-edge Claymore,pending,existing_corpus | exe:resource@0x54159C:csv
Diamond-edge Great Axe,Diamond-edge Great Axe,pending,existing_corpus | exe:resource@0x54159C:csv
Diamond-edge Long Sword,Diamond-edge Long Sword,pending,existing_corpus | exe:resource@0x54159C:csv
Dire Rabbit's Foot,Dire Rabbit's Foot,pending,existing_corpus | exe:resource@0x54159C:csv
Divine Ore,Divine Ore,pending,existing_corpus | exe:resource@0x54159C:csv
Divine Ore Great Sword,Divine Ore Great Sword,pending,existing_corpus | exe:resource@0x54159C:csv
Door Key,Door Key,pending,existing_corpus | exe:resource@0x54159C:csv
Dried Meat,Dried Meat,pending,existing_corpus | exe:resource@0x54159C:csv
Easter Egg,Easter Egg,pending,existing_corpus | exe:blitz_string@0x1B4B88 | exe:resource@0x54159C:csv
Ectoplasm,Ectoplasm,pending,existing_corpus | exe:blitz_string@0x194F7C | exe:resource@0x54159C:csv
Elements of Magick,Elements of Magick,pending,existing_corpus | exe:resource@0x54159C:csv
Embrace the Night,Embrace the Night,pending,existing_corpus | exe:resource@0x54159C:csv
Empty,Empty,pending,existing_corpus | exe:blitz_string@0x1AF1D0 | exe:resource@0x54159C:csv
Empty Flask,Empty Flask,pending,existing_corpus | exe:blitz_string@0x194AC4 | exe:resource@0x54159C:csv
Evil Amulet,Evil Amulet,pending,existing_corpus | exe:resource@0x54159C:csv
Executioner,Executioner,pending,existing_corpus | exe:resource@0x54159C:csv
Fancy Key,Fancy Key,pending,existing_corpus | exe:resource@0x54159C:csv
Femur,Femur,pending,existing_corpus | exe:blitz_string@0x1AF200 | exe:resource@0x54159C:csv
Fine Porcelain Cup,Fine Porcelain Cup,pending,existing_corpus | exe:resource@0x54159C:csv
Fine Porcelain Plate,Fine Porcelain Plate,pending,existing_corpus | exe:resource@0x54159C:csv
Flanged Mace,Flanged Mace,pending,existing_corpus | exe:resource@0x54159C:csv
Flask of Incinerator Fuel,Flask of Incinerator Fuel,pending,existing_corpus | exe:blitz_string@0x1A27F8 | exe:resource@0x54159C:csv
Flight Arrow,Flight Arrow,pending,existing_corpus | exe:blitz_string@0x194B14 | exe:resource@0x54159C:csv
Gate Key,Gate Key,pending,existing_corpus | exe:resource@0x54159C:csv
Giant Skull,Giant Skull,pending,existing_corpus | exe:resource@0x54159C:csv
Gold Goblin Key,Gold Goblin Key,pending,existing_corpus | exe:blitz_string@0x1B4304 | exe:resource@0x54159C:csv
Golden Key,Golden Key,pending,existing_corpus | exe:resource@0x54159C:csv
Grand Helm,Grand Helm,pending,existing_corpus | exe:resource@0x54159C:csv
Grand Master Wizard's Hat,Grand Master Wizard's Hat,pending,existing_corpus | exe:resource@0x54159C:csv
Gravedigger's Amulet,Gravedigger's Amulet,pending,existing_corpus | exe:blitz_string@0x1A2AB4 | exe:resource@0x54159C:csv
Green Goblin Key,Green Goblin Key,pending,existing_corpus | exe:blitz_string@0x1B435C | exe:resource@0x54159C:csv
Hard Leather Banded Armor,Hard Leather Banded Armor,pending,existing_corpus | exe:blitz_string@0x19461C | exe:resource@0x54159C:csv
Hardened Leather Half-Helm,Hardened Leather Half-Helm,pending,existing_corpus | exe:resource@0x54159C:csv
Harpoon,Harpoon,pending,existing_corpus | exe:blitz_string@0x1B572C | exe:resource@0x54159C:csv
Healer's Sandals,Healer's Sandals,pending,existing_corpus | exe:resource@0x54159C:csv
Healing Elixir I,Healing Elixir I,pending,existing_corpus | exe:blitz_string@0x193F50 | exe:resource@0x54159C:csv
You feel the elixir course through your veins.,You feel the elixir course through your veins.,pending,existing_corpus
Healing Elixir II,Healing Elixir II,pending,existing_corpus | exe:blitz_string@0x193F7C | exe:resource@0x54159C:csv
Healing Elixir III,Healing Elixir III,pending,existing_corpus | exe:blitz_string@0x195108 | exe:resource@0x54159C:csv
Heavy Armor Field Guide,Heavy Armor Field Guide,pending,existing_corpus | exe:resource@0x54159C:csv
Heavy Cloak,Heavy Cloak,pending,existing_corpus | exe:resource@0x54159C:csv
Heavy Key,Heavy Key,pending,existing_corpus | exe:resource@0x54159C:csv
Heavy Plated Belt,Heavy Plated Belt,pending,existing_corpus | exe:resource@0x54159C:csv
Hidden Dangers and Treasures,Hidden Dangers and Treasures,pending,existing_corpus | exe:resource@0x54159C:csv
Hide Leggings,Hide Leggings,pending,existing_corpus | exe:blitz_string@0x194750 | exe:resource@0x54159C:csv
Hive Larvae,Hive Larvae,pending,existing_corpus | exe:blitz_string@0x1A2B34 | exe:resource@0x54159C:csv
Hive Queen Stinger,Hive Queen Stinger,pending,existing_corpus | exe:resource@0x54159C:csv
Imbuing Your Equipment,Imbuing Your Equipment,pending,existing_corpus | exe:resource@0x54159C:csv
Incriminating Letter,Incriminating Letter,pending,existing_corpus | exe:resource@0x54159C:csv
Inkwell & Quill,Inkwell & Quill,pending,existing_corpus | exe:resource@0x54159C:csv
Inscribed Gold Wedding Ring,Inscribed Gold Wedding Ring,pending,existing_corpus | exe:resource@0x54159C:csv
A faint message is inscribed on the band: ''Mary - my eternal love''.,A faint message is inscribed on the band: ''Mary - my eternal love''.,pending,existing_corpus
Invisibility I,Invisibility I,pending,existing_corpus | exe:blitz_string@0x194030 | exe:resource@0x54159C:csv
Invisibility II,Invisibility II,pending,existing_corpus | exe:blitz_string@0x194AE8 | exe:resource@0x54159C:csv
Invisibility III,Invisibility III,pending,existing_corpus | exe:blitz_string@0x1950DC | exe:resource@0x54159C:csv
Iron Bracers,Iron Bracers,pending,existing_corpus | exe:blitz_string@0x194438 | exe:resource@0x54159C:csv
Iron Dagger,Iron Dagger,pending,existing_corpus | exe:blitz_string@0x194868 | exe:resource@0x54159C:csv
Iron Falcata,Iron Falcata,pending,existing_corpus | exe:resource@0x54159C:csv
Iron Gauntlets of the Warlord,Iron Gauntlets of the Warlord,pending,existing_corpus | exe:resource@0x54159C:csv
Iron Gladius,Iron Gladius,pending,existing_corpus | exe:resource@0x54159C:csv
Iron Half-Helm,Iron Half-Helm,pending,existing_corpus | exe:blitz_string@0x19445C | exe:resource@0x54159C:csv
Iron Hand Axe,Iron Hand Axe,pending,existing_corpus | exe:blitz_string@0x1948B8 | exe:resource@0x54159C:csv
Iron Kama,Iron Kama,pending,existing_corpus | exe:resource@0x54159C:csv
Iron Key,Iron Key,pending,existing_corpus | exe:resource@0x54159C:csv
Iron Long Sword,Iron Long Sword,pending,existing_corpus | exe:blitz_string@0x19483C | exe:resource@0x54159C:csv
Iron Mace,Iron Mace,pending,existing_corpus | exe:blitz_string@0x1947F0 | exe:resource@0x54159C:csv
Iron Morning Star,Iron Morning Star,pending,existing_corpus | exe:resource@0x54159C:csv
Iron Plate Armor,Iron Plate Armor,pending,existing_corpus | exe:resource@0x54159C:csv
Iron Plated Boots,Iron Plated Boots,pending,existing_corpus | exe:blitz_string@0x19465C | exe:resource@0x54159C:csv
Iron Ring Mail Gauntlets,Iron Ring Mail Gauntlets,pending,existing_corpus | exe:resource@0x54159C:csv
Iron Short Sword,Iron Short Sword,pending,existing_corpus | exe:blitz_string@0x194810 | exe:resource@0x54159C:csv
Iron Skullcap,Iron Skullcap,pending,existing_corpus | exe:resource@0x54159C:csv
Iron Spear,Iron Spear,pending,existing_corpus | exe:blitz_string@0x1B5748 | exe:resource@0x54159C:csv
Iron Spiked Boots,Iron Spiked Boots,pending,existing_corpus | exe:resource@0x54159C:csv
Iron Throwing Dart,Iron Throwing Dart,pending,existing_corpus | exe:blitz_string@0x1948E0 | exe:resource@0x54159C:csv
Iron Warhammer,Iron Warhammer,pending,existing_corpus | exe:resource@0x54159C:csv
It's a Trap!,It's a Trap!,pending,existing_corpus | exe:resource@0x54159C:csv
Ivory Amulet,Ivory Amulet,pending,existing_corpus | exe:resource@0x54159C:csv
Jelly Fungus,Jelly Fungus,pending,existing_corpus | exe:blitz_string@0x194A2C | exe:resource@0x54159C:csv
Jewel-crusted Morning star,Jewel-crusted Morning star,pending,existing_corpus | exe:resource@0x54159C:csv
Journal Entry,Journal Entry,pending,existing_corpus | exe:resource@0x54159C:csv
Keyholes and Tumblers,Keyholes and Tumblers,pending,existing_corpus | exe:resource@0x54159C:csv
Lantern,Lantern,pending,existing_corpus | exe:blitz_string@0x194BD4 | exe:resource@0x54159C:csv
Large Diamond,Large Diamond,pending,existing_corpus | exe:resource@0x54159C:csv
Large Emerald,Large Emerald,pending,existing_corpus | exe:resource@0x54159C:csv
Large Ruby,Large Ruby,pending,existing_corpus | exe:resource@0x54159C:csv
Large Steel Shield,Large Steel Shield,pending,existing_corpus | exe:resource@0x54159C:csv
Leather Belt,Leather Belt,pending,existing_corpus | exe:blitz_string@0x19468C | exe:resource@0x54159C:csv
Leather Boots,Leather Boots,pending,existing_corpus | exe:blitz_string@0x1946B0 | exe:resource@0x54159C:csv
Leather Bracers,Leather Bracers,pending,existing_corpus | exe:resource@0x54159C:csv
Leather Gloves,Leather Gloves,pending,existing_corpus | exe:blitz_string@0x1946FC | exe:resource@0x54159C:csv
Leather Hauberk,Leather Hauberk,pending,existing_corpus | exe:resource@0x54159C:csv
Leather Jerkin,Leather Jerkin,pending,existing_corpus | exe:blitz_string@0x1947A0 | exe:resource@0x54159C:csv
Leather Leggings,Leather Leggings,pending,existing_corpus | exe:resource@0x54159C:csv
Leather of the Prowler,Leather of the Prowler,pending,existing_corpus | exe:resource@0x54159C:csv
Leather Sandals,Leather Sandals,pending,existing_corpus | exe:resource@0x54159C:csv
Leather Skullcap,Leather Skullcap,pending,existing_corpus | exe:blitz_string@0x194724 | exe:resource@0x54159C:csv
Leatherskin I,Leatherskin I,pending,existing_corpus | exe:blitz_string@0x1A50CC | exe:resource@0x54159C:csv
Leatherskin II,Leatherskin II,pending,existing_corpus | exe:blitz_string@0x1A50F4 | exe:resource@0x54159C:csv
Leatherskin III,Leatherskin III,pending,existing_corpus | exe:blitz_string@0x1A511C | exe:resource@0x54159C:csv
Letter to Penelope,Letter to Penelope,pending,existing_corpus | exe:resource@0x54159C:csv
Light Armor Field Guide,Light Armor Field Guide,pending,existing_corpus | exe:resource@0x54159C:csv
Light Cloak,Light Cloak,pending,existing_corpus | exe:blitz_string@0x1946D8 | exe:resource@0x54159C:csv
Lock Pick,Lock Pick,pending,existing_corpus | exe:blitz_string@0x1942F8 | exe:resource@0x54159C:csv
Loremaster's Ring,Loremaster's Ring,pending,existing_corpus | exe:resource@0x54159C:csv
Machete,Machete,pending,existing_corpus | exe:blitz_string@0x1B7988 | exe:resource@0x54159C:csv
Magicka Divine,Magicka Divine,pending,existing_corpus | exe:resource@0x54159C:csv
Mahogany Quarterstaff,Mahogany Quarterstaff,pending,existing_corpus | exe:blitz_string@0x194378 | exe:resource@0x54159C:csv
Mana Cache Amulet,Mana Cache Amulet,pending,existing_corpus | exe:resource@0x54159C:csv
Mana Potion I,Mana Potion I,pending,existing_corpus | exe:blitz_string@0x193FAC | exe:resource@0x54159C:csv
You feel a surge of power as the potion restores your arcane energies.,You feel a surge of power as the potion restores your arcane energies.,pending,existing_corpus
Mana Potion II,Mana Potion II,pending,existing_corpus | exe:blitz_string@0x193FD4 | exe:resource@0x54159C:csv
Mana Potion III,Mana Potion III,pending,existing_corpus | exe:blitz_string@0x195138 | exe:resource@0x54159C:csv
Mandrake Root,Mandrake Root,pending,existing_corpus | exe:blitz_string@0x193EFC | exe:resource@0x54159C:csv
Map of Thaermore,Map of Thaermore,pending,existing_corpus | exe:blitz_string@0x194C60 | exe:resource@0x54159C:csv
You are viewing a map. Press any key to continue...,You are viewing a map. Press any key to continue...,pending,existing_corpus
Mapping Your World,Mapping Your World,pending,existing_corpus | exe:resource@0x54159C:csv
Master Wizard's Hat,Master Wizard's Hat,pending,existing_corpus | exe:resource@0x54159C:csv
Mercenary's Note,Mercenary's Note,pending,existing_corpus | exe:resource@0x54159C:csv
Mercury,Mercury,pending,existing_corpus | exe:blitz_string@0x194F60 | exe:resource@0x54159C:csv
Mithril Alloy Chain Boots,Mithril Alloy Chain Boots,pending,existing_corpus | exe:resource@0x54159C:csv
Mithril Battle Axe,Mithril Battle Axe,pending,existing_corpus | exe:resource@0x54159C:csv
Mithril Chainmail Leggings,Mithril Chainmail Leggings,pending,existing_corpus | exe:resource@0x54159C:csv
Mithril Dagger,Mithril Dagger,pending,existing_corpus | exe:resource@0x54159C:csv
Mithril Double Battle Axe,Mithril Double Battle Axe,pending,existing_corpus | exe:resource@0x54159C:csv
Mithril Long Sword,Mithril Long Sword,pending,existing_corpus | exe:resource@0x54159C:csv
Mithril Studded Leggings,Mithril Studded Leggings,pending,existing_corpus | exe:resource@0x54159C:csv
Mithril-woven Cloak,Mithril-woven Cloak,pending,existing_corpus | exe:resource@0x54159C:csv
Mystic's Ring,Mystic's Ring,pending,existing_corpus | exe:resource@0x54159C:csv
Odd Key,Odd Key,pending,existing_corpus | exe:resource@0x54159C:csv
Of Men and Giants,Of Men and Giants,pending,existing_corpus | exe:resource@0x54159C:csv
Oil,Oil,pending,existing_corpus | exe:blitz_string@0x194B9C | exe:resource@0x54159C:csv
Penetrators,Penetrators,pending,existing_corpus | exe:resource@0x54159C:csv
Portal Instructions,Portal Instructions,pending,existing_corpus | exe:resource@0x54159C:csv
Potion of Absolute Restoration,Potion of Absolute Restoration,pending,existing_corpus | exe:blitz_string@0x1B2B50 | exe:resource@0x54159C:csv
The elixir is bitter and causes you to choke!,The elixir is bitter and causes you to choke!,pending,existing_corpus
Potion of Cat's Eyes,Potion of Cat's Eyes,pending,existing_corpus | exe:blitz_string@0x193FFC | exe:resource@0x54159C:csv
Potion of Cure Greater Disease,Potion of Cure Greater Disease,pending,existing_corpus | exe:blitz_string@0x194F9C | exe:resource@0x54159C:csv
Potion of Cure Lesser Disease,Potion of Cure Lesser Disease,pending,existing_corpus | exe:blitz_string@0x194058 | exe:resource@0x54159C:csv
Potion of Fortified Mana,Potion of Fortified Mana,pending,existing_corpus | exe:blitz_string@0x1A5230 | exe:resource@0x54159C:csv
Potion of Greater Protection,Potion of Greater Protection,pending,existing_corpus | exe:blitz_string@0x1A51B8 | exe:resource@0x54159C:csv
Potion of Haste I,Potion of Haste I,pending,existing_corpus | exe:blitz_string@0x194A94 | exe:resource@0x54159C:csv
Potion of Haste II,Potion of Haste II,pending,existing_corpus | exe:blitz_string@0x1A5068 | exe:resource@0x54159C:csv
Potion of Haste III,Potion of Haste III,pending,existing_corpus | exe:blitz_string@0x1A5098 | exe:resource@0x54159C:csv
Potion of Keensight,Potion of Keensight,pending,existing_corpus | exe:blitz_string@0x1A5148 | exe:resource@0x54159C:csv
Potion of Nimbleness,Potion of Nimbleness,pending,existing_corpus | exe:blitz_string@0x1A51FC | exe:resource@0x54159C:csv
Potion of Ogre Strength,Potion of Ogre Strength,pending,existing_corpus | exe:blitz_string@0x1A517C | exe:resource@0x54159C:csv
Potion of Predator Sight,Potion of Predator Sight,pending,existing_corpus | exe:resource@0x54159C:csv
Potion of Stoneskin,Potion of Stoneskin,pending,existing_corpus | exe:blitz_string@0x1A526C | exe:resource@0x54159C:csv
Pouch of Gold,Pouch of Gold,pending,existing_corpus | exe:resource@0x54159C:csv
Priest's Cloak,Priest's Cloak,pending,existing_corpus | exe:resource@0x54159C:csv
Purest Water,Purest Water,pending,existing_corpus | exe:resource@0x54159C:csv
Quality Cloak,Quality Cloak,pending,existing_corpus | exe:blitz_string@0x194410 | exe:resource@0x54159C:csv
Rabbit's Foot,Rabbit's Foot,pending,existing_corpus | exe:resource@0x54159C:csv
Random,Random,pending,existing_corpus | exe:blitz_string@0x1A7794 | exe:resource@0x54159C:csv
Ranger Lord's Mithril Bracers,Ranger Lord's Mithril Bracers,pending,existing_corpus | exe:resource@0x54159C:csv
Ranger's Leather Bracers,Ranger's Leather Bracers,pending,existing_corpus | exe:resource@0x54159C:csv
Recurved Composite Great Bow,Recurved Composite Great Bow,pending,existing_corpus | exe:resource@0x54159C:csv
Recurved Longbow,Recurved Longbow,pending,existing_corpus | exe:resource@0x54159C:csv
Recurved Short Bow,Recurved Short Bow,pending,existing_corpus | exe:resource@0x54159C:csv
Red Goblin Key,Red Goblin Key,pending,existing_corpus | exe:blitz_string@0x1B4388 | exe:resource@0x54159C:csv
Ring of Magi,Ring of Magi,pending,existing_corpus | exe:resource@0x54159C:csv
Ring of Sparks,Ring of Sparks,pending,existing_corpus | exe:resource@0x54159C:csv
Ring of the Assassin,Ring of the Assassin,pending,existing_corpus | exe:resource@0x54159C:csv
Ring of the Fire Master,Ring of the Fire Master,pending,existing_corpus | exe:resource@0x54159C:csv
Ring of the Harbinger,Ring of the Harbinger,pending,existing_corpus | exe:resource@0x54159C:csv
Ring of the Hawk,Ring of the Hawk,pending,existing_corpus | exe:resource@0x54159C:csv
Ring of the Shadow,Ring of the Shadow,pending,existing_corpus | exe:resource@0x54159C:csv
Ring of the Wise,Ring of the Wise,pending,existing_corpus | exe:resource@0x54159C:csv
Ring of Vigor,Ring of Vigor,pending,existing_corpus | exe:resource@0x54159C:csv
Ringmail Leggings,Ringmail Leggings,pending,existing_corpus | exe:resource@0x54159C:csv
Rope Belt,Rope Belt,pending,existing_corpus | exe:resource@0x54159C:csv
Rusted Iron Plate Armor,Rusted Iron Plate Armor,pending,existing_corpus | exe:resource@0x54159C:csv
Rusted Key,Rusted Key,pending,existing_corpus | exe:resource@0x54159C:csv
Sacrificial Dagger,Sacrificial Dagger,pending,existing_corpus | exe:resource@0x54159C:csv
Salt,Salt,pending,existing_corpus | exe:resource@0x54159C:csv
Salted Fish,Salted Fish,pending,existing_corpus | exe:blitz_string@0x194B78 | exe:resource@0x54159C:csv
Sam's Guide to Demon Oil,Sam's Guide to Demon Oil,pending,existing_corpus | exe:resource@0x54159C:csv
Scholar's Ring,Scholar's Ring,pending,existing_corpus | exe:resource@0x54159C:csv
Scout's Sandals,Scout's Sandals,pending,existing_corpus | exe:blitz_string@0x1943E4 | exe:resource@0x54159C:csv
Scroll of Air Shield,Scroll of Air Shield,pending,existing_corpus | exe:blitz_string@0x194204 | exe:resource@0x54159C:csv
Scroll of Bless,Scroll of Bless,pending,existing_corpus | exe:blitz_string@0x1940C4 | exe:resource@0x54159C:csv
Scroll of Cat's Eyes,Scroll of Cat's Eyes,pending,existing_corpus | exe:blitz_string@0x1940F0 | exe:resource@0x54159C:csv
Scroll of Chameleon,Scroll of Chameleon,pending,existing_corpus | exe:resource@0x54159C:csv
